"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"POPTRE04_GR","GR","poptre",0.48421052631579,2.867100116,48.16680989,3,2.2,NA,NA,0.0461103732575599,NA,NA
"POPTRE05_GR","GR","poptre",NA,NA,NA,25,21,NA,NA,NA,NA,NA
"POPTRE06_GR","GR","poptre",0.48019801980198,2.793076793,49.01644805,6,5,NA,NA,0.0565343839792047,NA,NA
"POPTRE07_GR","GR","poptre",0.438144329896907,3.279787266,48.42175755,11,7.4,9.5,NA,0.0618287473409315,NA,NA
"POPTRE08_GR","GR","poptre",NA,NA,NA,4.5,3.6,NA,NA,NA,NA,NA
"PRUPEN01_GR","GR","prupen",0.516483516483516,2.765964332,45.56069554,2.2,1,1.4,NA,0.0351469141009419,NA,NA
"PRUPEN02_GR","GR","prupen",NA,NA,NA,1.1,4,NA,NA,NA,NA,NA
"PRUPEN03_GR","GR","prupen",0.433333333333333,3.656474311,45.62195673,3.5,2.2,2,1.3,0.0306221624572288,NA,NA
"PRUPEN04_GR","GR","prupen",0.54014598540146,2.567771963,45.55669144,9,7.3,NA,NA,0.0383963958583088,NA,NA
"PRUPEN05_GR","GR","prupen",0.469387755102041,2.938049229,45.99064224,2,1.4,1,NA,0.0483792936623125,NA,NA
"PRUPEN06_GR","GR","prupen",0.562962962962963,3.092040248,47.43734504,2,2,1,NA,0.0445275625612254,NA,NA
"PRUPEN07_GR","GR","prupen",NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
"PRUPEN08_GR","GR","prupen",NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"PRUPEN09_GR","GR","prupen",0.535211267605634,2.798367987,48.70855186,2.3,1.6,1,NA,0.0488171559902539,NA,NA
"PRUPEN10_GR","GR","prupen",NA,NA,NA,11,7.25,NA,NA,NA,NA,NA
"QUERUB01_GR","GR","querub",0.528571428571429,2.304766819,47.02900096,9.5,12,3.5,NA,0.0554851606708589,NA,NA
"RHAFRA01_GR","GR","rhafra",0.412121212121212,3.100481881,32.47663192,2,1.125,NA,NA,0.0269003501604902,NA,NA
"RHOPRI01_GR","GR","rhopri",0.439024390243902,3.282380111,47.85125314,0.7,NA,NA,NA,0.0298379426738526,NA,NA
