Sample,Weight (mg),%N,%C,C:N,Date
klrhoalb07,4.20,2.1,43.7,20.4,02.12.2020 19:15
klrhoalb08,3.88,2.6,44.8,17.5,02.12.2020 19:22
klrhoalb09,3.67,2.5,46.5,18.4,02.12.2020 19:29
klrhoalb10,3.86,2.6,44.9,17.4,02.12.2020 19:36
klriblac01,3.73,3.3,41.0,12.5,02.12.2020 17:43
klriblac01_2,4.37,3.3,41.4,12.7,03.12.2020 17:19
klriblac02,4.22,2.4,41.6,17.4,02.12.2020 17:50
klriblac02_2,4.37,2.2,41.1,18.8,03.12.2020 17:26
klriblac03,4.84,2.9,42.7,14.8,02.12.2020 17:57
klriblac07,4.44,1.8,40.2,22.8,02.12.2020 18:04
klriblac08,4.50,1.5,40.9,27.3,02.12.2020 18:11
klriblac09,4.79,1.8,40.0,21.9,02.12.2020 18:18
klriblac10,4.32,2.1,42.1,20.5,03.12.2020 14:44
klriblac11,3.59,1.6,44.7,27.8,03.12.2020 14:51
klriblac12,4.14,3.1,42.3,13.9,03.12.2020 15:05
klriblac13,4.79,3.3,42.2,13.0,03.12.2020 15:12
klrubpar01,4.26,2.4,42.5,17.6,03.12.2020 13:33
klrubpar03,3.80,2.4,45.3,19.3,03.12.2020 13:40
klrubpar04,4.33,1.7,42.5,25.1,03.12.2020 13:47
klrubpar06,3.70,2.1,44.4,21.3,03.12.2020 13:54
klrubpar07,4.07,2.3,44.0,19.3,03.12.2020 14:01
klrubpar08,4.23,1.7,43.2,25.0,03.12.2020 14:08
klrubpar09,4.04,1.9,42.3,21.8,03.12.2020 14:16
klrubpar10,4.81,2.5,44.6,17.8,03.12.2020 14:23
klrubpar11,4.68,2.8,43.9,15.4,03.12.2020 14:30
klrubpar12,4.90,1.8,42.6,23.2,03.12.2020 14:37
klsamrac01,4.08,4.4,48.7,11.1,02.12.2020 19:43
klsamrac02,4.08,3.3,45.0,13.8,02.12.2020 19:50
klsamrac03,4.44,4.5,45.5,10.2,02.12.2020 20:04
klsamrac04,4.50,4.6,46.0,10.0,02.12.2020 20:11
klsamrac05,3.57,6.1,47.3,7.7,02.12.2020 20:18
klsamrac06,4.31,3.3,45.5,14.0,02.12.2020 20:26
