"species","site","no","sample","lma"
"shecan","kl","7","kl_shecan_7",4.48301343660201
"shecan","kl","8","kl_shecan_8",5.90271371643909
"shecan","kl","9","kl_shecan_9",NA
"sorsco","kl","1","kl_sorsco_1",3.86141449439508
"sorsco","kl","10","kl_sorsco_10",3.04150933546401
"sorsco","kl","2","kl_sorsco_2",4.29264231417681
"sorsco","kl","3","kl_sorsco_3",3.49608447629632
"sorsco","kl","4","kl_sorsco_4",5.60199079012138
"sorsco","kl","5","kl_sorsco_5",4.2912070483142
"sorsco","kl","6","kl_sorsco_6",4.99993089055341
"sorsco","kl","7","kl_sorsco_7",4.52519225580945
"sorsco","kl","8","kl_sorsco_8",2.58184415129384
"sorsco","kl","9","kl_sorsco_9",3.93675336605697
"spibet","kl","10","kl_spibet_10",2.68711204438752
"spibet","kl","11","kl_spibet_11",3.64722688764218
"spibet","kl","12","kl_spibet_12",2.96129833351062
"spibet","kl","3","kl_spibet_3",3.05854879911899
"spibet","kl","4","kl_spibet_4",3.57668728357176
"spibet","kl","5","kl_spibet_5",4.01941432752605
"spibet","kl","6","kl_spibet_6",3.69672410182481
"spibet","kl","7","kl_spibet_7",4.83039751756561
"spibet","kl","8","kl_spibet_8",3.56302174139866
"spibet","kl","9","kl_spibet_9",NA
"symalb","kl","02_02","kl_symalb_02_02",4.67644569277434
"symalb","kl","1","kl_symalb_1",4.02427714362415
"symalb","kl","10","kl_symalb_10",4.14964798121172
"symalb","kl","11","kl_symalb_11",4.57453275048459
"symalb","kl","12","kl_symalb_12",5.35125200231218
"symalb","kl","2","kl_symalb_2",3.37290047760018
"symalb","kl","3","kl_symalb_3",4.47586203884964
"symalb","kl","7","kl_symalb_7",2.54205222946007
"symalb","kl","8","kl_symalb_8",4.27321026107621
"symalb","kl","9","kl_symalb_9",3.58617325103427
"vacmem","kl","1","kl_vacmem_1",5.40340985136067
"vacmem","kl","10","kl_vacmem_10",3.4398397303684
"vacmem","kl","11","kl_vacmem_11",2.36080223826922
"vacmem","kl","2","kl_vacmem_2",4.57108403170649
"vacmem","kl","3","kl_vacmem_3",4.13318057060407
"vacmem","kl","4","kl_vacmem_4",3.29995098960606
"vacmem","kl","5","kl_vacmem_5",2.55709378199779
"vacmem","kl","6","kl_vacmem_6",3.23630022120012
"vacmem","kl","7","kl_vacmem_7",2.91867104984836
"vacmem","kl","8","kl_vacmem_8",3.48848066459446
"vacmem","kl","9","kl_vacmem_9",4.04082946325248
"vibedu","kl","1","kl_vibedu_1",3.66115979134042
"vibedu","kl","10","kl_vibedu_10",4.49825143959632
"vibedu","kl","2","kl_vibedu_2",8.24349203300851
"vibedu","kl","3","kl_vibedu_3",3.05847260035128
"vibedu","kl","4","kl_vibedu_4",4.75076503583535
"vibedu","kl","5","kl_vibedu_5",4.49382957992721
