site ,species,no,stem.weight
sm,spidou,3,987.1
sm,spidou,4,761
sm,spidou,5,352.6
sm,spidou,6,683.4
sm,spidou,7,646.7
sm,spidou,8,574.7
sm,spidou,9,355.5
sm,spidou,10,575.6
sm,spipyr,1,601.9
sm,spipyr,2,978.7
sm,spipyr,3,800.6
sm,spipyr,4,878.9
sm,spipyr,5,610.1
sm,spipyr,6,638
sm,spipyr,7,462.3
sm,spipyr,8,352.1
sm,spipyr,9,522
sm,spipyr,10,676.6
sm,symalb,2,100.8
sm,symalb,4,433.2
sm,symalb,5,778.2
sm,symalb,6,1347.2
sm,symalb,7,1485.9
sm,symalb,8,926.8
sm,symalb,9,477.5
sm,symalb,11,1008.5
sm,symalb,12,1449.5
sm,symalb,12_02,720.7
sm,symalb,9_02,1443.9
sm,vacmem,1,1239.3
sm,vacmem,2,1195
sm,vacmem,3,1234.4
sm,vacmem,4,869.8
sm,vacmem,5,956.8
sm,vacmem,6,672.4
sm,vacmem,7,1002
sm,vacmem,8,879.3
sm,vacmem,9,1358.9
sm,vacmem,10,1494.9
sm,vibedu,1,1992.4
sm,vibedu,5,1064.3
sm,vibedu,7,2420.6
sm,vibedu,8,1097.7
sm,vibedu,9,3241.2
sm,vibedu,10,2321.1
sm,vibedu,12,2937.8
sm,vibedu,19,1197
sm,vibedu,20,1235.7
sm,vibedu,11,925.2
