"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"SPIALB03_GR","GR","spialb",0.4375,3.322671634,46.05707562,1,NA,NA,NA,0.0251070855238631,13.9,NA,"1",43.99837498,-1.06799594411452
"SPIALB04_GR","GR","spialb",0.419354838709677,3.642398633,46.05948299,1.1,NA,NA,NA,0.0220485895792854,12.6,NA,"1",43.99837498,-1.06799594411452
"SPIALB05_GR","GR","spialb",0.555555555555556,2.699798341,48.93822469,1.2,NA,NA,NA,0.0457106990325706,18.1,NA,"1",43.99837498,-1.06799594411452
"SPIALB06_GR","GR","spialb",0.576271186440678,2.623086312,46.94754315,1.4,NA,NA,NA,0.0298383539607172,17.9,NA,"1",43.99837498,-1.06799594411452
"SPIALB07_GR","GR","spialb",0.436363636363636,2.827955083,47.09990017,1.5,NA,NA,NA,0.0270318976392143,16.7,NA,"1",43.99837498,-1.06799594411452
"SPIALB08_GR","GR","spialb",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"SPIALB09_GR","GR","spialb",0.625,2.041757604,47.13726377,1.2,NA,NA,NA,0.0383956524307402,23.1,NA,"1",43.99837498,-1.06799594411452
"SPIALB10_GR","GR","spialb",0.480769230769231,1.911023799,47.82870948,1.2,NA,NA,NA,0.0416194112934273,25,NA,"1",43.99837498,-1.06799594411452
"VACMYR01_GR","GR","vacmyr",1.8,2.534835551,46.93957035,0.3,NA,NA,NA,0.0233421595874273,18.5,NA,"1",43.99837498,-1.06799594411452
"VACMYR02_GR","GR","vacmyr",1,2.75458265,46.73151195,0.3,NA,NA,NA,0.0208796164832044,17,NA,"1",43.99837498,-1.06799594411452
"VACMYR03_GR","GR","vacmyr",0.75,2.615073373,47.45069279,0.3,NA,NA,NA,0.0258059079729723,18.1,NA,"1",43.99837498,-1.06799594411452
